wallet_address,user_tier,total_volume_usd,total_trades,active_days,days_since_last
0xce45b35255a71cff9da2c37edb9da4a794604336,active,4999.67,5,1,13
0x4f3c4b4350796df308521b6b3a2863b93ebfd990,active,4997.67,20,12,19
0xe9057636453348b1db1d5cb4a46f2c22c531c26c,active,4995.08,44,20,3
0xc1ffac9b8e566506511d8e9754b6ca3166a49cdf,active,4994.37,5,1,2
0x631dbe2bd8549ef83bac9b7dbe62c014e6b6d5b9,active,4994.32,42,9,27
0x922ff3601899c56f2366d891bcafb65753b6f422,active,4993.4,51,15,5
0x6125a3824fc76c017d9a556baf178d16a2752378,active,4993.03,6,1,14
0x8ce5e3e12072bfaa77da765d7425a7bb2f17241f,active,4992.78,43,20,2
0x5e32abaa35082b977229f49a85b5bbd2c102c777,active,4992.39,12,1,21
0xbc11278d6a1f28bc57c491d343bcf5cd7a9ed010,active,4991.58,22,14,5
0x584c94baa9484cd3cd99827c730cd262cb0ad09e,active,4991.29,6,5,3
0x735d606ef98c6ee00addf2897a8ca6eaf65c3d29,active,4991.21,60,20,1
0x42460d839db117df92c6f4b153ac4403c9376b05,active,4991.06,5,1,9
0x2a305cdfb3ae0d159b1ed0cc2c301b2a2e3a0061,active,4989.66,6,3,25
0x32aeee8120cd8c2a7c81a648471ce0aad3a56bd4,active,4989.35,14,8,25
0x9b9f8d650105e21bf323515b7c3eb55bd29bb630,active,4986.34,45,13,9
0x2a23b3e32a6fe587c3cc6072167aaa632571eac6,active,4986.28,21,9,6
0xafa28874f2c74c5264e52f276999f4ecba28a834,active,4984.79,81,13,30
0xabe2288259e69d2627d9fa7d95c71cf73475e6bc,active,4984.59,5,1,9
0x7589f42d6140dd7be6c84a88960e9e6450be6265,active,4982.95,19,14,1
0x9c87d08cdcdf72867a4f7ccff139e9e15fc37bbb,active,4981.39,6,1,7
0x10aeb3c44a95e03e079334d96277a2fcd506c197,active,4977.64,5,1,9
0x7f83d7904ef5f6057e3c0e9e875ad862b10a8b8c,active,4976.28,8,3,24
0x19c172f3ba943fab5f23301eea6961ee170ea397,active,4971.23,75,7,1
0x274c7c11bc19139397464068ca342c42de784372,active,4965.57,6,6,30
0xcac092e1e387fbf1731a81af7db0949ed5b83a6c,active,4963.69,7,2,1
0x1baf6937a658dfb3282909f7e165e51a4c66b0c2,active,4963.44,136,22,28
0x858ebdb5ea3c8783c3c0c754c406243e578f44da,active,4959.26,13,1,22
0x1c2a858588cfe912eff1ffbe801113cd8adde669,active,4958.55,6,1,16
0x2611feb33ef93581b58faa88b8a0f6ae26006429,active,4958.41,6,1,9
0xa1024f335e5c3164e84ee53e0744a4ef9b0a7e2d,active,4957.02,48,19,6
0xa14444d090f8c30b9f3d3e9fc83a65ae1a9c2f46,active,4955.65,14,5,3
0x316a89a99c82f33ef589fe60996d21e30ea299df,active,4955.05,45,23,3
