wallet_address,user_tier,total_volume_usd,total_trades,active_days,days_since_last
0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,whale,9.16119442e+06,171432,169,0
0x63274ff0dd147d2b106d4d6b21817e59418be181,whale,3.55552749e+06,900,21,93
0x1fad9860ab0d21c8668a13accf25d6eb3c11b5b2,whale,2.99860837e+06,423,17,90
0x6c979ffcc3528a5d2395a2f7c89135711da0988c,whale,2.92836392e+06,64421,52,17
0x4b7410aefbf0f38012b0dfb1131a4de147a9e8d7,whale,2.3603304e+06,35232,159,0
0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,whale,2.32571751e+06,34792,156,8
0x30cecdf29f069563ea21b8ae94492e41e53a6b2b,whale,1.95357204e+06,128709,122,0
0xd218e474776403a330142299f7796e8ba32eb5c9,whale,1.76541451e+06,19369,125,24
0x34026514e0bda25f0f9fbb053fe3070cdc8c9446,whale,1.50168424e+06,52,24,67
0x1217832819e321d21f4e5a27c62b8ec6ad845d72,whale,1.0051846e+06,28405,23,78
0x67bc6af6806df61ba5144b125174ecf5f821d54e,whale,970211.47,8769,54,1
0xb6fa57039ea79185895500dbd0067c288594abcf,whale,928316.26,39028,151,1
0x9698c3e6ac7c74e474cae7b7ef2dd17f62ae0d2a,whale,873065.81,44,2,56
0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,whale,863653.68,27910,134,5
0x1ca86d60235fa478f12f36286a66af88086d8290,whale,832258.43,418,2,67
0xbb7e80417ccabd5e6190b679432a21e46257f1be,whale,785979.83,165,19,37
0xc3cd1d612bbf9fbf80da5a9bff0b0470cb46816c,whale,771772.76,27601,175,1
0x69af844d4fbacebfc1c4124b0978801db3600a19,whale,679361.3,25031,122,1
0x733ff9ed8d1859656e736d116d800f2f228bfd05,whale,668856.74,516,2,69
0xd362566464efa05a15a3d7ce3224067564879bc4,whale,601559.62,23517,104,22
0xa3ad70cf48a2f2b44163e798223c01a2c2536866,whale,586063,7080,106,1
0x0b9cae2b0dfe7a71c413e0604eaac1c352f87e44,whale,524782.9,170,26,2
0x1d8c256b15d3cd1f5db221e70c77f552eb8d757a,whale,509461.04,15134,90,3
0xe83cc0c82d009a1c349c1a89feaadfcee9655e8f,whale,496035.85,861,100,1
0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,whale,479793.87,81025,171,0
0x0fe74a20c727d735116a7c6a0de1ab36f57e91dd,whale,478092.8,798,4,68
0xb6bed94e75c333dae24eb9c80b3fef47ef3cfcfe,whale,471126.49,2390,137,7
0xe542afd3881c4c330ba0ebbb603bb470b2ba0a37,whale,465573.96,18029,174,0
0xee292e8cbca9cf11b394a98f0ee6904c00e389d8,whale,458176.35,16464,151,0
0x214c69288c346a70b96007cad9d8c59fac216378,whale,452319.76,7132,68,13
0x1223987eb4bf8564a932f43e3cec9f28b5ced424,whale,417074.52,3161,74,18
0xe523d117c9319ac8bf191e5e20065a8d99d48e31,whale,416425.69,25,5,51
